YOU  Y UW
FOOTBALL  F UH T B AO L
SPREAD  S P R EH D
ILL  IH L
COAT  K OW T
RUINED  R UW AH N D
RUINED(1)  R UW IH N D
SCOTT  S K AA T
EARS  IH R Z
EARS(1)  IY R Z
CHEST  CH EH S T
ANDY  AE N D IY
SUCCESS  S AH K S EH S
SOONER  S UW N ER
MADAME  M AE D AH M
MADAME(1)  M AH D AE M
SAFETY  S EY F T IY
MARIA  M ER IY AH
PERMISSION  P ER M IH SH AH N
FANCY  F AE N S IY
SPRING  S P R IH NG
SPRING(1)  S P ER IH NG
COS  K AO S
OUTTA  UW T AH
OUTTA(1)  AW T AH
THEORY  TH IH R IY
THEORY(1)  TH IY ER IY
GATE  G EY T
JOURNEY  JH ER N IY
TICKETS  T IH K AH T S
TICKETS(1)  T IH K IH T S
EXPENSIVE  IH K S P EH N S IH V
PAINT  P EY N T
LOVER  L AH V ER
NOPE  N OW P
DAVE  D EY V
MOOD  M UW D
MEMBERS  M EH M B ER Z
STORM  S T AO R M
PAGE  P EY JH
HIDDEN  HH IH D AH N
CHEESE  CH IY Z
PRIEST  P R IY S T
REGRET  R AH G R EH T
REGRET(1)  R IH G R EH T
CONTRACT  K AA N T R AE K T
CONTRACT(1)  K AH N T R AE K T
THIEF  TH IY F
DIVORCE  D IH V AO R S
LESSON  L EH S AH N
PERSONALLY  P ER S AH N AH L IY
EGGS  EH G Z
COMMUNITY  K AH M Y UW N AH T IY
COMMUNITY(1)  K AH M Y UW N IH T IY
SUBJECT  S AH B JH EH K T
SUBJECT(1)  S AH B JH IH K T
RENT  R EH N T
REVENGE  R IY V EH N JH
TRADE  T R EY D
NIGHTS  N AY T S
SUDDEN  S AH D AH N
FOREST  F AO R AH S T
FOREST(1)  F AO R IH S T
BLESS  B L EH S
CHANGES  CH EY N JH AH Z
CHANGES(1)  CH EY N JH IH Z
RUSH  R AH SH
ATE  EY T
TREES  T R IY Z
SANTA  S AE N T AH
SANTA(1)  S AE N AH
BASICALLY  B EY S IH K L IY
DA  D AA
DA(1)  D IY EY
DETAILS  D IH T EY L Z
DETAILS(1)  D IY T EY L Z
OWNER  OW N ER
DOCTORS  D AA K T ER Z
WILLIAM  W IH L Y AH M
AMOUNT  AH M AW N T
BARELY  B EH R L IY
ARTIST  AA R T AH S T
ARTIST(1)  AA R T IH S T
POCKET  P AA K AH T
CANCER  K AE N S ER
PAIR  P EH R
CAUSED  K AA Z D
CAUSED(1)  K AO Z D
ALAN  AE L AH N
RUIN  R UW AH N
RUIN(1)  R UW IH N
DATING  D EY T IH NG
GRANDFATHER  G R AE N D F AA DH ER
GRANDFATHER(1)  G R AE N F AA DH ER
PAINTING  P EY N T IH NG
PAINTING(1)  P EY N IH NG
BIKE  B AY K
LOSS  L AO S
LIAR  L AY ER
GOIN  G OY N
HILL  HH IH L
WINTER  W IH N T ER
POINTS  P OY N T S
ASSISTANT  AH S IH S T AH N T
MURDERER  M ER D ER ER
LEGAL  L IY G AH L
NAH  N AA
LARRY  L EH R IY
GROWING  G R OW IH NG
TEARS  T EH R Z
TEARS(1)  T IH R Z
RUNS  R AH N Z
LISA  L IY S AH
BUYING  B AY IH NG
EXCITING  IH K S AY T IH NG
FARM  F AA R M
CHEAP  CH IY P
TONGUE  T AH NG
TOILET  T OY L AH T
REASONS  R IY Z AH N Z
GENIUS  JH IY N Y AH S
SQUARE  S K W EH R
SECRETARY  S EH K R AH T EH R IY
EUROPE  Y UH R AH P
CONNECTION  K AH N EH K SH AH N
SCARE  S K EH R
VICTIMS  V IH K T IH M Z
BONES  B OW N Z
ROUGH  R AH F
DOWNSTAIRS  D AW N S T EH R Z
BEDROOM  B EH D R UW M
OBVIOUS  AA B V IY AH S
CASES  K EY S AH Z
CASES(1)  K EY S IH Z
PROFESSIONAL  P R AH F EH SH AH N AH L
UNIVERSITY  Y UW N AH V ER S AH T IY
WALTER  W AO L T ER
TOUR  T UH R
PLAYER  P L EY ER
SILVER  S IH L V ER
PITY  P IH T IY
PLEASED  P L IY Z D
CLOCK  K L AA K
MEMORIES  M EH M ER IY Z
PARTS  P AA R T S
RACHEL  R EY CH AH L
GREW  G R UW
OCEAN  OW SH AH N
BURNING  B ER N IH NG
DNA  D IY EH N EY
INVITE  IH N V AY T
FOREIGN  F AO R AH N
FOREIGN(1)  F AA R AH N
PLANNED  P L AE N D
ASHAMED  AH SH EY M D
AVOID  AH V OY D
BORING  B AO R IH NG
CRASH  K R AE SH
LOWER  L OW ER
BATH  B AE TH
ROMANTIC  R OW M AE N T IH K
REPEAT  R IH P IY T
REPEAT(1)  R IY P IY T
FORTUNE  F AO R CH AH N
FORTUNE(1)  F AO R CH UW N
SECRETS  S IY K R IH T S
CENTURY  S EH N CH ER IY
WARNING  W AO R N IH NG
JASON  JH EY S AH N
INSURANCE  IH N SH UH R AH N S
AIRPORT  EH R P AO R T
COMPLICATED  K AA M P L AH K EY T AH D
GROWN  G R OW N
SUCK  S AH K
FAMILIAR  F AH M IH L Y ER
REACHED  R IY CH T
ROME  R OW M
HIGHER  HH AY ER
MENTIONED  M EH N SH AH N D
GOSH  G AA SH
RESULTS  R IH Z AH L T S
RESULTS(1)  R IY Z AH L T S
FILLED  F IH L D
WOODS  W UH D Z
TEMPLE  T EH M P AH L
LIKELY  L AY K L IY
RIGHTS  R AY T S
YOUNGER  Y AH NG G ER
BELONGS  B IH L AO NG Z
KNOWLEDGE  N AA L AH JH
KNOWLEDGE(1)  N AA L IH JH
MAP  M AE P
COMPETITION  K AA M P AH T IH SH AH N
FINDS  F AY N D Z
PHOTOS  F OW T OW Z
INDISTINCT  IH N D IH S T IH NG K T
YELLING  Y EH L IH NG
DEFENSE  D IH F EH N S
CAREFULLY  K EH R F AH L IY
USELESS  Y UW S L AH S
GUESTS  G EH S T S
GOODNESS  G UH D N AH S
GOODNESS(1)  G UH D N IH S
PER  P ER
BLEEP  B L IY P
INCLUDING  IH N K L UW D IH NG
JOBS  JH AA B Z
CHINA  CH AY N AH
EVENT  IH V EH N T
EVENT(1)  IY V EH N T
HUMANS  HH Y UW M AH N Z
HUMANS(1)  Y UW M AH N Z
GLASSES  G L AE S AH Z
GLASSES(1)  G L AE S IH Z
ANNIE  AE N IY
ATTACKED  AH T AE K T
WAITED  W EY T IH D
STOPS  S T AA P S
PERIOD  P IH R IY AH D
SHAPE  SH EY P
BEEPING  B IY P IH NG
PROPER  P R AA P ER
DEPENDS  D IH P EH N D Z
TELEPHONE  T EH L AH F OW N
CELEBRATE  S EH L AH B R EY T
REQUEST  R IH K W EH S T
REQUEST(1)  R IY K W EH S T
FIXED  F IH K S T
POLITICAL  P AH L IH T AH K AH L
POLITICAL(1)  P AH L IH T IH K AH L
ASSUME  AH S UW M
GRANT  G R AE N T
AFFAIR  AH F EH R
SEXY  S EH K S IY
LED  L EH D
MATT  M AE T
GRAVE  G R EY V
OFFICERS  AO F AH S ER Z
OFFICERS(1)  AO F IH S ER Z
GIANT  JH AY AH N T
PLANT  P L AE N T
EVENTUALLY  IH V EH N CH AH W AH L IY
EVENTUALLY(1)  IH V EH N SH AH L IY
EVENTUALLY(2)  IY V EH N CH AH W AH L IY
EVENTUALLY(3)  IY V EH N SH AH L IY
FOUGHT  F AO T
HIRED  HH AY ER D
SITE  S AY T
POUNDS  P AW N D Z
POUNDS(1)  P AW N Z
SPEAKS  S P IY K S
DELICIOUS  D IH L IH SH AH S
STATEMENT  S T EY T M AH N T
MILLIONS  M IH L Y AH N Z
RISE  R AY Z
JACKET  JH AE K AH T
JACKET(1)  JH AE K IH T
KELLY  K EH L IY
BADLY  B AE D L IY
TALL  T AO L
ALICE  AE L IH S
MERCY  M ER S IY
WHORE  HH AO R
SAVING  S EY V IH NG
F  EH F
SUFFER  S AH F ER
SWITCH  S W IH CH
DELIVER  D IH L IH V ER
ROYAL  R OY AH L
MEAL  M IY L
DIRECTION  D ER EH K SH AH N
DIRECTION(1)  D IY R EH K SH IH N
DIRECTION(2)  D AY R EH K SH IH N
DIRECTION(3)  D IH R EH K SH IH N
FAMILIES  F AE M AH L IY Z
FAMILIES(1)  F AE M L IY Z
ODD  AA D
WALLS  W AO L Z
SEXUAL  S EH K SH UW AH L
FORCES  F AO R S IH Z
PARTICULAR  P ER T IH K Y AH L ER
PARTICULAR(1)  P AA T IH K Y AH L ER
DATA  D EY T AH
DATA(1)  D AE T AH
HORN  HH AO R N
GOLDEN  G OW L D AH N
CHASE  CH EY S
POWERS  P AW ER Z
ATTORNEY  AH T ER N IY
OFFICIAL  AH F IH SH AH L
RAT  R AE T
PIZZA  P IY T S AH
CONFUSED  K AH N F Y UW Z D
FACES  F EY S AH Z
FACES(1)  F EY S IH Z
POSITIVE  P AA Z AH T IH V
BECOMES  B IH K AH M Z
SHOCK  SH AA K
SOUP  S UW P
EMILY  EH M IH L IY
OFFERED  AO F ER D
WHEREVER  W EH R EH V ER
WHEREVER(1)  HH W EH R EH V ER
YOURSELVES  Y UH R S EH L V Z
YOURSELVES(1)  Y AO R S EH L V Z
COURAGE  K ER IH JH
ANSWERS  AE N S ER Z
YELLOW  Y EH L OW
PATIENTS  P EY SH AH N T S
PATIENTS(1)  P EY SH AH N Z
RAISED  R EY Z D
CHANGING  CH EY N JH IH NG
LOCATION  L OW K EY SH AH N
JERK  JH ER K
CHOCOLATE  CH AO K L AH T
IMAGE  IH M AH JH
IMAGE(1)  IH M IH JH
REGULAR  R EH G Y AH L ER
REGULAR(1)  R EY G Y AH L ER
SCREWED  S K R UW D
HUNT  HH AH N T
CARRYING  K AE R IY IH NG
CARRYING(1)  K EH R IY IH NG
TAXI  T AE K S IY
WATCHED  W AA CH T
WATCHED(1)  W AO CH T
APPEAR  AH P IH R
KNOCKING  N AA K IH NG
PISS  P IH S
COMMITTED  K AH M IH T IH D
DISGUSTING  D IH S G AH S T IH NG
CLEVER  K L EH V ER
WOUND  W AW N D
WOUND(1)  W UW N D
ARTHUR  AA R TH ER
PLATE  P L EY T
TELEVISION  T EH L AH V IH ZH AH N
GODS  G AA D Z
LIPS  L IH P S
MONDAY  M AH N D IY
MONDAY(1)  M AH N D EY
PICKING  P IH K IH NG
FREAK  F R IY K
TRAFFIC  T R AE F IH K
HEADED  HH EH D AH D
HEADED(1)  HH EH D IH D
INDIA  IH N D IY AH
DAWN  D AO N
LEO  L IY OW
POISON  P OY Z AH N
CHARGES  CH AA R JH IH Z
SAT  S AE T
KICKED  K IH K T
SCARY  S K EH R IY
MYSTERY  M IH S T ER IY
INDIAN  IH N D IY AH N
PURE  P Y UH R
BANG  B AE NG
DISEASE  D IH Z IY Z
ITALIAN  IH T AE L Y AH N
MARCH  M AA R CH
DROVE  D R OW V
LAURA  L AO R AH
ROLE  R OW L
SHOTS  SH AA T S
BUTT  B AH T
VICTORY  V IH K T AH R IY
BELOW  B IH L OW
BELOW(1)  B IY L OW
TOUCHED  T AH CH T
DEALING  D IY L IH NG
TRAP  T R AE P
NATION  N EY SH AH N
HEALTHY  HH EH L TH IY
BABIES  B EY B IY Z
SHOPPING  SH AA P IH NG
STOOD  S T UH D
DESIRE  D IH Z AY ER
ASIDE  AH S AY D
MIDNIGHT  M IH D N AY T
PHYSICAL  F IH Z IH K AH L
JURY  JH UH R IY
CHECKING  CH EH K IH NG
APPOINTMENT  AH P OY N T M AH N T
SONGS  S AO NG Z
AWAKE  AH W EY K
CARL  K AA R L
HONOUR  AA N ER
SWIM  S W IH M
DIES  D AY Z
MAIL  M EY L
PHIL  F IH L
VACATION  V EY K EY SH AH N
TIM  T IH M
SOURCE  S AO R S
FACTORY  F AE K T ER IY
ENEMIES  EH N AH M IY Z
PALACE  P AE L AH S
HEARTS  HH AA R T S
CRACK  K R AE K
TALENT  T AE L AH N T
NEIGHBORHOOD  N EY B ER HH UH D
JENNY  JH EH N IY
CLARK  K L AA R K
THREAT  TH R EH T
CHOSE  CH OW Z
EAR  IY R
EAR(1)  IH R
MIRACLE  M IH R AH K AH L
GRANDMOTHER  G R AE N D M AH DH ER
FIRM  F ER M
WINNER  W IH N ER
TED  T EH D
JOKING  JH OW K IH NG
CENTRAL  S EH N T R AH L
LICENSE  L AY S AH N S
MOVES  M UW V Z
LUKE  L UW K
ADVANTAGE  AE D V AE N T IH JH
GARY  G EH R IY
GARY(1)  G AE R IY
MONKEY  M AH NG K IY
SMELLS  S M EH L Z
BURNED  B ER N D
MIRROR  M IH R ER
MANAGED  M AE N AH JH D
MANAGED(1)  M AE N IH JH D
BLEEDING  B L IY D IH NG
WOOD  W UH D
DEAN  D IY N
UNION  Y UW N Y AH N
CHRISTIAN  K R IH S CH AH N
CHRISTIAN(1)  K R IH S CH IH N
BEATING  B IY T IH NG
RICK  R IH K
GROANING  G R OW N IH NG
VIOLENCE  V AY AH L AH N S
CLAIRE  K L EH R
PILLS  P IH L Z
SUFFERING  S AH F ER IH NG
SUFFERING(1)  S AH F R IH NG
COUNCIL  K AW N S AH L
PROTECTION  P R AH T EH K SH AH N
COOKING  K UH K IH NG
PASSING  P AE S IH NG
SUSAN  S UW Z AH N
PRIME  P R AY M
HOOK  HH UH K
PISSED  P IH S T
SISTERS  S IH S T ER Z
MOTHERFUCKER  M AH DH ER F AH K ER
CONCERN  K AH N S ER N
LAID  L EY D
EFFECT  IH F EH K T
EFFECT(1)  IY F EH K T
EFFECT(2)  AH F EH K T
REMOVE  R IY M UW V
STUDIO  S T UW D IY OW
TERMS  T ER M Z
GUARDS  G AA R D Z
LOAD  L OW D
WASHINGTON  W AA SH IH NG T AH N
WASHINGTON(1)  W AO SH IH NG T AH N
TREASURE  T R EH ZH ER
BAGS  B AE G Z
HEH  HH EH
DISAPPEAR  D IH S AH P IH R
DISAPPEAR(1)  D IH S AH P IY R
ROB  R AA B
SPELL  S P EH L
MOUNTAINS  M AW N T AH N Z
IRON  AY ER N
RESCUE  R EH S K Y UW
TREATMENT  T R IY T M AH N T
DESERT  D EH Z ER T
DESERT(1)  D IH Z ER T
CAPABLE  K EY P AH B AH L
RESULT  R IH Z AH L T
RESULT(1)  R IY Z AH L T
ARRIVE  ER AY V
DECENT  D IY S AH N T
MODERN  M AA D ER N
SMITH  S M IH TH
THOU  DH AW
PIANO  P IY AE N OW
PIANO(1)  P IY AE N AH
SEAN  SH AO N
GRATEFUL  G R EY T F AH L
FRIENDSHIP  F R EH N D SH IH P
SUE  S UW
CANDY  K AE N D IY
FRED  F R EH D
BRIDE  B R AY D
UNBELIEVABLE  AH N B AH L IY V AH B AH L
AVAILABLE  AH V EY L AH B AH L
FLOWER  F L AW ER
EXTREMELY  IH K S T R IY M L IY
CLEARS  K L IH R Z
BONE  B OW N
CLOSES  K L OW Z IH Z
BECOMING  B IH K AH M IH NG
REFUSE  R AH F Y UW Z
REFUSE(1)  R EH F Y UW Z
REFUSE(2)  R IH F Y UW Z
STRONGER  S T R AO NG G ER
VALUE  V AE L Y UW
LOUIS  L UW IH S
LOUIS(1)  L UW IY
PULLING  P UH L IH NG
TIED  T AY D
JUNIOR  JH UW N Y ER
CHUCK  CH AH K
APRIL  EY P R AH L
STEALING  S T IY L IH NG
RIDING  R AY D IH NG
TWENTY  T W EH N T IY
FALSE  F AO L S
REMAINS  R IH M EY N Z
REMAINS(1)  R IY M EY N Z
CARTER  K AA R T ER
METAL  M EH T AH L
TIP  T IH P
MONSIEUR  M AH S Y ER
THROWING  TH R OW IH NG
HOLIDAY  HH AA L AH D EY
HOLIDAY(1)  HH AA L IH D EY
SMOKING  S M OW K IH NG
RATE  R EY T
PERFORMANCE  P ER F AO R M AH N S
GERMANY  JH ER M AH N IY
KYLE  K AY L
FALLEN  F AA L AH N
CURIOUS  K Y UH R IY AH S
BORROW  B AA R OW
EMMA  EH M AH
GOVERNOR  G AH V ER N ER
SOMEDAY  S AH M D EY
SILENT  S AY L AH N T
VEHICLE  V IY HH IH K AH L
VEHICLE(1)  V IY IH K AH L
TOAST  T OW S T
ILLEGAL  IH L IY G AH L
LOVING  L AH V IH NG
PRIDE  P R AY D
CHAMPAGNE  SH AE M P EY N
FORMER  F AO R M ER
WARN  W AO R N
STRANGER  S T R EY N JH ER
LUCY  L UW S IY
UNIFORM  Y UW N AH F AO R M
JOSH  JH AA SH
APPEARS  AH P IH R Z
TEAR  T EH R
TEAR(1)  T IH R
CAB  K AE B
PRESENCE  P R EH Z AH N S
PANTING  P AE N T IH NG
FAIL  F EY L
HUNDREDS  HH AH N D R AH D Z
HUNDREDS(1)  HH AH N D ER D Z
HUNDREDS(2)  HH AH N ER D Z
PROPERLY  P R AA P ER L IY
ESCAPED  IH S K EY P T
SCREAM  S K R IY M
FALLS  F AO L Z
WOKE  W OW K
HUNTING  HH AH N T IH NG
DUST  D AH S T
WISE  W AY Z
SOLVE  S AA L V
DESPERATE  D EH S P R IH T
DESPERATE(1)  D EH S P ER IH T
HUNG  HH AH NG
EDGE  EH JH
THEREFORE  DH EH R F AO R
WITCH  W IH CH
MOSTLY  M OW S T L IY
MOSTLY(1)  M OW S L IY
MEDIA  M IY D IY AH
CLAIM  K L EY M
RICE  R AY S
EGG  EH G
PUNCH  P AH N CH
CAST  K AE S T
EVE  IY V
INTELLIGENCE  IH N T EH L AH JH AH N S
DEEPLY  D IY P L IY
ROOMS  R UW M Z
CONVINCED  K AH N V IH N S T
ORDINARY  AO R D AH N EH R IY
WINNING  W IH N IH NG
DIRECTLY  D ER EH K T L IY
DIRECTLY(1)  D IY R EH K L IY
DIRECTLY(2)  D AY R EH K L IY
DIRECTLY(3)  D IH R EH K L IY
COW  K AW
SURFACE  S ER F AH S
STEPS  S T EH P S
CIGARETTE  S IH G AH R EH T
POPULAR  P AA P Y AH L ER
FOURTH  F AO R TH
HATED  HH EY T AH D
HATED(1)  HH EY T IH D
JAPAN  JH AH P AE N
HM  HH AH M
DESTINY  D EH S T AH N IY
TREATED  T R IY T AH D
TREATED(1)  T R IY T IH D
THY  DH AY
SIGNS  S AY N Z
SCORE  S K AO R
AMERICANS  AH M EH R IH K AH N Z
MARKS  M AA R K S
TECHNOLOGY  T EH K N AA L AH JH IY
DRAGON  D R AE G AH N
CONSIDERED  K AH N S IH D ER D
PILOT  P AY L AH T
NOTES  N OW T S
AFRICA  AE F R IH K AA
BRAINS  B R EY N Z
STARING  S T EH R IH NG
FILES  F AY L Z
RECEIVE  R AH S IY V
RECEIVE(1)  R IH S IY V
RECEIVE(2)  R IY S IY V
SIN  S IH N
MISTAKES  M IH S T EY K S
EMPEROR  EH M P ER ER
SEPARATE  S EH P ER EY T
SEPARATE(1)  S EH P ER IH T
SEPARATE(2)  S EH P R AH T
RELEASED  R IY L IY S T
GOAL  G OW L
YOUTH  Y UW TH
PRECIOUS  P R EH SH AH S
CLEANING  K L IY N IH NG
CARRIED  K AE R IY D
CARRIED(1)  K EH R IY D
POT  P AA T
HOUSES  HH AW S AH Z
HOUSES(1)  HH AW S IH Z
WOLF  W UH L F
CHICAGO  SH AH K AA G OW
BOOM  B UW M
SERVED  S ER V D
CALIFORNIA  K AE L AH F AO R N Y AH
ROW  R OW
R  AA R
PENNY  P EH N IY
AHH  AA
SECTION  S EH K SH AH N
DUMP  D AH M P
TEXT  T EH K S T
JACKSON  JH AE K S AH N
KAREN  K EH R AH N
SPOKEN  S P OW K AH N
BLEW  B L UW
PRISONER  P R IH Z AH N ER
PRISONER(1)  P R IH Z N ER
CHUCKLING  CH AH K L IH NG
ISSUES  IH SH UW Z
ZERO  Z IY R OW
ARMED  AA R M D
WHEEL  W IY L
WHEEL(1)  HH W IY L
LILY  L IH L IY
MERRY  M EH R IY
EXCHANGE  IH K S CH EY N JH
COAST  K OW S T
JAMIE  JH EY M IY
GRADE  G R EY D
TALKS  T AO K S
SHIFT  SH IH F T
HANK  HH AE NG K
BASTARDS  B AE S T ER D Z
DIRECT  D ER EH K T
DIRECT(1)  D AY R EH K T
DIRECT(2)  D IH R EH K T
KNEES  N IY Z
CURE  K Y UH R
SACRIFICE  S AE K R AH F AY S
BEAST  B IY S T
PIE  P AY
WIDE  W AY D
CONVINCE  K AH N V IH N S
MATERIAL  M AH T IH R IY AH L
CREATURE  K R IY CH ER
CHATTERING  CH AE T ER IH NG
EATEN  IY T AH N
ENGAGED  IH N G EY JH D
JULIE  JH UW L IY
TRACE  T R EY S
SONS  S AH N Z
BUTTON  B AH T AH N
PARKING  P AA R K IH NG
DARKNESS  D AA R K N AH S
AMBULANCE  AE M B Y AH L AH N S
INTERNET  IH N T ER N EH T
RANGE  R EY N JH
TAYLOR  T EY L ER
EXPERT  EH K S P ER T
RARE  R EH R
FREEZE  F R IY Z
SALE  S EY L
ROBIN  R AA B AH N
ROBIN(1)  R AA B IH N
DRAG  D R AE G
SUCCESSFUL  S AH K S EH S F AH L
JUICE  JH UW S
EXACT  IH G Z AE K T
TESTS  T EH S T S
SOLUTION  S AH L UW SH AH N
AMEN  EY M EH N
AMEN(1)  AA M EH N
TOWER  T AW ER
CHANCES  CH AE N S AH Z
CHANCES(1)  CH AE N S IH Z
MARTY  M AA R T IY
MASS  M AE S
ALIEN  EY L IY AH N
SCHEDULE  S K EH JH UH L
SCHEDULE(1)  S K EH JH UW L
STAIRS  S T EH R Z
MORGAN  M AO R G AH N
CHARMING  CH AA R M IH NG
NASTY  N AE S T IY
FRUIT  F R UW T
BORED  B AO R D
SPY  S P AY
AMANDA  AH M AE N D AH
SEARCHING  S ER CH IH NG
SENIOR  S IY N Y ER
GARAGE  G ER AA ZH
DEFEND  D IH F EH N D
ANGER  AE NG G ER
CLUE  K L UW
MAGAZINE  M AE G AH Z IY N
SOMETIME  S AH M T AY M
ZONE  Z OW N
VICTOR  V IH K T ER
SHOULDER  SH OW L D ER
REPORTS  R IH P AO R T S
REPORTS(1)  R IY P AO R T S
CIRCUMSTANCES  S ER K AH M S T AE N S AH Z
CIRCUMSTANCES(1)  S ER K AH M S T AE N S IH Z
PROGRESS  P R AA G R EH S
PROGRESS(1)  P R AH G R EH S
PROGRESS(2)  P R OW G R EH S
UNUSUAL  AH N Y UW ZH UW AH L
UNUSUAL(1)  AH N Y UW ZH W AH L
RUDE  R UW D
SNAKE  S N EY K
BRAVO  B R AA V OW
TRAPPED  T R AE P T
G  JH IY
CHOSEN  CH OW Z AH N
EFFORT  EH F ER T
ELEVATOR  EH L AH V EY T ER
TIRES  T AY ER Z
HELPS  HH EH L P S
SENTENCE  S EH N T AH N S
SUCKS  S AH K S
EQUIPMENT  IH K W IH P M AH N T
BELOVED  B IH L AH V D
BELOVED(1)  B IH L AH V AH D
ATTITUDE  AE T AH T UW D
FRIENDLY  F R EH N D L IY
MOMENTS  M OW M AH N T S
NEWSPAPER  N UW Z P EY P ER
LITERALLY  L IH T ER AH L IY
LITERALLY(1)  L IH T R AH L IY
WARRANT  W AO R AH N T
MEXICO  M EH K S AH K OW
COUNTY  K AW N T IY
COUNTY(1)  K AW N IY
JOEY  JH OW IY
LOSER  L UW Z ER
SERIES  S IH R IY Z
CLOSING  K L OW Z IH NG
PUSHED  P UH SH T
WORKERS  W ER K ER Z
LEADS  L IY D Z
VISION  V IH ZH AH N
HELEN  HH EH L AH N
ACTOR  AE K T ER
NEGATIVE  N EH G AH T IH V
SHARP  SH AA R P
CURSE  K ER S
SHADOW  SH AE D OW
EARN  ER N
GORGEOUS  G AO R JH AH S
FISHING  F IH SH IH NG
SPENDING  S P EH N D IH NG
ID  IH D
ID(1)  AY D IY
SEEK  S IY K
PASSION  P AE SH AH N
ROUTE  R UW T
ROUTE(1)  R AW T
JULIA  JH UW L Y AH
REPORTER  R IH P AO R T ER
LEADING  L IY D IH NG
TROOPS  T R UW P S
EXPLOSION  IH K S P L OW ZH AH N
SQUAD  S K W AA D
KINGDOM  K IH NG D AH M
ROCKS  R AA K S
UNDERSTANDING  AH N D ER S T AE N D IH NG
PUTS  P UH T S
SCREEN  S K R IY N
COLLECT  K AH L EH K T
FASHION  F AE SH AH N
WAVE  W EY V
CLIMB  K L AY M
PEN  P EH N
INCIDENT  IH N S AH D AH N T
JONES  JH OW N Z
KINDS  K AY N D Z
KINDS(1)  K AY N Z
BULL  B UH L
HIGHNESS  HH AY N AH S
CHAIN  CH EY N
HITLER  HH IH T L ER
CLIENTS  K L AY AH N T S
DEVICE  D IH V AY S
SIMILAR  S IH M AH L ER
DEBT  D EH T
CONNECTED  K AH N EH K T IH D
WITNESSES  W IH T N AH S AH Z
WITNESSES(1)  W IH T N AH S IH Z
CUSTOMERS  K AH S T AH M ER Z
CAMPAIGN  K AE M P EY N
MAGGIE  M AE G IY
THEE  DH IY
HUG  HH AH G
ALCOHOL  AE L K AH HH AA L
HIRE  HH AY ER
HIRE(1)  HH AY R
ANNOUNCER  AH N AW N S ER
CONFERENCE  K AA N F ER AH N S
CONFERENCE(1)  K AA N F R AH N S
STUDYING  S T AH D IY IH NG
BLOWS  B L OW Z
CAMERAS  K AE M ER AH Z
CAMERAS(1)  K AE M R AH Z
INTERNATIONAL  IH N T ER N AE SH AH N AA L
INTERNATIONAL(1)  IH N ER N AE SH AH N AA L
VIRGIN  V ER JH IH N
FEDERAL  F EH D ER AH L
FEDERAL(1)  F EH D R AH L
EDUCATION  EH JH AH K EY SH AH N
EDUCATION(1)  EH JH Y UW K EY SH AH N
HITTING  HH IH T IH NG
FULLY  F UH L IY
FED  F EH D
POLITICS  P AA L AH T IH K S
RAPE  R EY P
MUMMY  M AH M IY
KISSED  K IH S T
BORDER  B AO R D ER
WIRE  W AY ER
WIRE(1)  W AY R
PRIZE  P R AY Z
SPORTS  S P AO R T S
CIRCLE  S ER K AH L
THROWN  TH R OW N
HATES  HH EY T S
OBJECT  AA B JH EH K T
OBJECT(1)  AH B JH EH K T
WISHES  W IH SH IH Z
ROBBERY  R AA B ER IY
THUNDER  TH AH N D ER
GORDON  G AO R D AH N
PROVIDE  P R AH V AY D
ROPE  R OW P
SALT  S AO L T
BAY  B EY
H  EY CH
SCOFFS  S K AO F S
COMMIT  K AH M IH T
JOINED  JH OY N D
FLESH  F L EH SH
WRITER  R AY T ER
TRASH  T R AE SH
REWARD  R IH W AO R D
REWARD(1)  R IY W AO R D
GLORY  G L AO R IY
AUTHORITY  AH TH AO R AH T IY
TIGER  T AY G ER
PERCENT  P ER S EH N T
REMEMBERED  R IH M EH M B ER D
REMEMBERED(1)  R IY M EH M B ER D
VALLEY  V AE L IY
ESTATE  EH S T EY T
LEARNING  L ER N IH NG
YARD  Y AA R D
ELIZABETH  IH L IH Z AH B AH TH
ELIZABETH(1)  IH L IH Z AH B IH TH
TANK  T AE NG K
CONFIDENCE  K AA N F AH D EH N S
RICKY  R IH K IY
LACK  L AE K
ALERT  AH L ER T
FILMS  F IH L M Z
FACTS  F AE K T S
FACTS(1)  F AE K S
NORMALLY  N AO R M AH L IY
NORMALLY(1)  N AO R M L IY
DESPITE  D IH S P AY T
WANTING  W AA N T IH NG
WANTING(1)  W AA N IH NG
APPLE  AE P AH L
KNOCKED  N AA K T
SKILLS  S K IH L Z
PATRICK  P AE T R IH K
MARIE  M ER IY
APPROACH  AH P R OW CH
SAINT  S EY N T
CHICK  CH IH K
SHIPS  SH IH P S
SERVICES  S ER V AH S AH Z
SERVICES(1)  S ER V IH S IH Z
DOLL  D AA L
DUCK  D AH K
STOCK  S T AA K
MENTAL  M EH N T AH L
LIBRARY  L AY B R EH R IY
FAILURE  F EY L Y ER
MOVEMENT  M UW V M AH N T
BOW  B AW
BOW(1)  B OW
STAN  S T AE N
LETS  L EH T S
TAIL  T EY L
SECURE  S IH K Y UH R
BEGINS  B IH G IH N Z
SENATOR  S EH N AH T ER
NIGHTMARE  N AY T M EH R
THEATER  TH IY EY T ER
SAND  S AE N D
REPUTATION  R EH P Y AH T EY SH AH N
ACCEPTED  AE K S EH P T IH D
JACKIE  JH AE K IY
